ZEIT_LANG,ZEIT_CODE,RAUM_LANG,RAUM_CODE,BEW,Datenstatus,KREISEZH_LANG,KREISEZH_CODE,StichtagDatJahr,StichtagDatJahr_str,Jahr,RAUM_my_sort
2016-12-31,Z31122016,Hochschulen,R00012,640.0,Definitiv,Kreis 1 (Stadtgebiet vor 1893),R10000,2016-12-31,2016-12-31,2016,12
2016-12-31,Z31122016,City,R00014,810.0,Definitiv,Kreis 1 (Stadtgebiet vor 1893),R10000,2016-12-31,2016-12-31,2016,14
2016-12-31,Z31122016,Mühlebach,R00082,6137.0,Definitiv,Kreis 8 (ab 1915),R01100,2016-12-31,2016-12-31,2016,82
2016-12-31,Z31122016,Weinegg,R00083,5030.0,Definitiv,Kreis 8 (ab 1915),R01100,2016-12-31,2016-12-31,2016,83
2016-12-31,Z31122016,Escher Wyss,R00052,5825.0,Definitiv,Kreis 5 (ab 1915),R00800,2016-12-31,2016-12-31,2016,52
2016-12-31,Z31122016,Albisrieden,R00091,21174.0,Definitiv,Kreis 9 (ab 1934),R01400,2016-12-31,2016-12-31,2016,91
2016-12-31,Z31122016,Seebach,R00119,25198.0,Definitiv,Kreis 11 (ab 1970),R01800,2016-12-31,2016-12-31,2016,119
2016-12-31,Z31122016,Oerlikon,R00115,22161.0,Definitiv,Kreis 11 (ab 1970),R01800,2016-12-31,2016-12-31,2016,115
2015-12-31,Z31122015,Mühlebach,R00082,6116.0,Definitiv,Kreis 8 (ab 1915),R01100,2015-12-31,2015-12-31,2015,82
2015-12-31,Z31122015,Werd,R00041,4460.0,Definitiv,Kreis 4 (ab 1915),R00700,2015-12-31,2015-12-31,2015,41
2015-12-31,Z31122015,Gewerbeschule,R00051,9608.0,Definitiv,Kreis 5 (ab 1915),R00800,2015-12-31,2015-12-31,2015,51
2015-12-31,Z31122015,Affoltern,R00111,25874.0,Definitiv,Kreis 11 (ab 1970),R01800,2015-12-31,2015-12-31,2015,111
